ID_SHOP,SEX,MARITAL_STATUS,AGE,FLAG_RESIDENCIAL_PHONE,AREA_CODE_RESIDENCIAL_PHONE,PAYMENT_DAY,RESIDENCE_TYPE,MONTHS_IN_RESIDENCE,FLAG_RESIDENCE_TOWN=WORKING_TOWN,FLAG_RESIDENCE_STATE=WORKING_STATE,MONTHS_IN_THE_JOB,PROFESSION_CODE,MATE_INCOME,FLAG_RESIDENCIAL_ADDRESS=POSTAL_ADDRESS,QUANT_BANKING_ACCOUNTS,PERSONAL_NET_INCOME,QUANT_ADDITIONAL_LOAN_IN_THE_APPLICATION,TARGET_LABEL_BAD=1,LOAN_AMOUNT_REQUESTED,ID_CLIENT
55,F,S,47,Y,31,12,P,456,N,Y,36,13,0,Y,0,1030,0,0,22401.97562,22
17,F,S,22,Y,31,25,P,120,N,Y,36,61,0,Y,0,350,0,0,26638.53317,23
8,F,S,38,Y,31,8,P,36,N,Y,24,501,0,Y,0,700,0,0,26117.0931,24
16,F,C,56,Y,31,1,P,144,N,Y,0,999,0,Y,0,400,0,0,2097.523053,25
25,M,C,47,Y,31,12,P,180,Y,Y,84,202,0,Y,0,1000,0,0,9375.977928,26
25,F,S,35,Y,31,12,P,48,N,Y,24,26,0,Y,0,390,0,0,6608.424679,27
6,F,C,51,N,50,18,P,612,Y,Y,264,132,450,Y,0,630,0,0,2587.612859,28
55,F,C,38,Y,50,25,P,60,N,Y,60,166,1500,Y,0,300,0,0,9397.327748,29
12,F,S,22,Y,31,28,P,24,N,Y,0,165,0,Y,0,600,0,0,28441.01725,30
23,F,D,38,Y,31,12,P,192,N,Y,0,18,0,Y,0,1500,0,0,28752.446,31
16,F,S,24,Y,31,12,P,216,Y,Y,12,999,0,Y,0,250,0,0,19745.91692,32
14,M,C,22,Y,31,8,P,216,Y,Y,12,999,0,N,0,360,0,0,21539.93922,33
25,F,C,20,Y,31,18,O,48,N,Y,48,205,0,Y,0,270,0,0,19969.46183,34
5,F,C,38,Y,5,18,P,384,Y,Y,0,717,0,Y,0,180,0,0,19869.10182,35
24,M,S,22,Y,31,20,C,264,N,Y,72,950,0,Y,0,450,0,0,20245.21191,36
22,F,O,20,N,50,20,P,12,N,Y,12,40,0,Y,0,320,0,1,9192.950918,37
12,F,C,62,Y,31,12,P,360,N,Y,0,13,0,Y,0,180,0,0,25704.48035,38
15,F,C,20,Y,31,18,P,168,Y,Y,120,918,0,N,0,411,0,0,6077.560686,39
22,F,V,57,Y,31,28,P,456,N,Y,120,703,0,Y,0,284,0,0,20759.29276,40
1,F,S,60,Y,31,12,P,216,N,Y,0,13,0,Y,0,600,1,0,15176.22075,41
8,F,S,34,Y,31,8,P,408,N,Y,48,950,0,Y,0,1000,0,1,12116.90853,42
23,F,O,44,Y,31,8,O,12,Y,Y,216,514,0,Y,0,1400,0,0,25554.33196,43
16,F,S,22,Y,31,25,P,264,Y,Y,12,210,0,Y,0,446,0,0,18331.85484,44
55,F,V,72,Y,31,8,P,576,N,Y,120,703,0,Y,0,1000,0,0,10023.38871,45
14,M,C,37,Y,31,28,P,240,N,Y,192,706,0,Y,0,700,0,1,2896.34778,46
17,F,C,34,Y,31,18,P,36,N,Y,0,255,0,Y,0,900,0,0,6031.137603,47
5,M,S,36,N,50,25,C,216,Y,Y,0,26,0,Y,0,360,0,0,3419.00307,48
55,F,S,33,Y,50,12,P,0,N,Y,324,704,0,Y,0,894,0,1,14111.23175,49
24,F,C,33,N,50,12,P,72,N,Y,72,950,0,Y,0,800,0,0,7679.412986,50
25,M,S,24,Y,31,12,P,36,N,Y,0,999,0,Y,0,319,0,0,25779.09272,51
3,M,C,62,Y,31,12,P,72,N,Y,108,13,0,Y,0,613,1,1,27105.07353,52
24,F,S,20,Y,31,16,P,48,N,Y,12,205,0,Y,0,180,0,1,20031.47143,53
19,F,S,23,Y,31,12,P,252,N,Y,0,999,0,Y,0,1000,0,0,14840.62059,54
25,F,S,34,Y,50,8,P,360,Y,Y,48,130,0,Y,0,201,0,0,23948.76044,55
3,F,V,59,Y,23,12,P,156,N,Y,180,131,0,Y,0,800,0,0,1551.667404,56
55,F,S,27,Y,50,8,P,120,N,Y,24,265,0,Y,0,300,0,0,27092.92275,57
12,F,C,53,N,31,23,P,48,N,Y,24,205,0,Y,0,510,1,0,11688.83828,58
22,F,C,28,Y,31,12,P,156,N,Y,24,950,0,Y,0,450,0,0,2525.48918,59
11,F,C,29,Y,31,18,P,204,Y,Y,24,60,0,Y,0,549,0,0,12548.33557,60
55,F,S,18,Y,31,25,P,12,N,N,0,999,0,Y,0,300,0,1,9611.273972,61
9,F,D,44,Y,5,25,P,84,Y,Y,300,305,0,Y,0,1704,2,0,19446.15744,62
20,F,C,43,Y,31,18,P,168,Y,Y,24,501,0,Y,0,500,0,0,7539.755103,63
9,F,C,49,Y,5,20,P,240,N,Y,12,999,1200,Y,0,10,2,0,24622.62504,64
22,F,S,19,Y,31,25,P,228,N,Y,60,732,0,Y,0,480,0,1,15247.69496,65
15,M,S,19,Y,31,28,P,48,Y,Y,12,213,0,Y,0,525,1,0,21255.42388,66
19,M,S,22,N,50,25,O,120,Y,Y,12,26,0,Y,0,193,0,1,624.9794957,67
55,F,S,27,Y,31,8,P,36,N,Y,48,950,0,Y,0,1700,0,0,8017.345238,68
9,M,C,42,Y,5,12,P,36,N,Y,0,13,0,Y,0,776,0,0,6956.895002,69
15,M,S,20,Y,31,1,P,120,N,Y,0,999,0,Y,0,0,0,0,7572.982688,70
12,F,C,22,Y,31,18,P,300,N,Y,0,950,0,Y,0,300,0,0,4923.817681,71
55,F,S,36,Y,31,11,P,216,Y,Y,24,801,0,Y,0,450,0,0,738.5971614,72
1,F,C,53,Y,31,12,P,24,N,Y,48,13,0,Y,0,576,0,0,16593.23117,73
15,F,O,52,Y,31,18,P,216,N,Y,60,725,0,Y,0,1428,1,0,10422.45156,74
6,F,S,21,Y,5,28,C,12,Y,Y,36,163,0,Y,0,368,0,0,10172.19343,75
23,F,S,47,Y,31,8,P,420,Y,Y,96,60,0,Y,0,450,0,0,14920.24919,76
19,F,S,38,Y,31,8,P,36,N,Y,0,999,0,Y,0,600,0,0,19541.31479,77
23,F,C,41,Y,31,3,P,60,Y,Y,24,801,0,Y,0,266,0,0,10285.90685,78
19,F,S,22,Y,31,12,P,264,Y,Y,24,999,0,Y,0,500,1,0,10735.21141,79
25,F,S,20,Y,31,12,P,192,Y,Y,0,999,0,Y,0,200,0,0,5767.49675,80
24,M,S,20,Y,31,18,P,12,Y,Y,12,950,0,Y,0,300,0,0,18115.06467,81
23,F,O,44,Y,31,12,P,360,Y,Y,228,262,0,Y,0,668,2,0,27400.70486,82
22,M,C,32,N,50,12,P,120,N,Y,72,310,0,Y,0,325,1,0,7992.072581,83
1,F,S,25,N,50,18,P,300,Y,Y,60,205,0,N,0,180,0,1,8699.703824,84
3,F,C,38,Y,31,18,P,12,Y,Y,0,712,1500,Y,0,517,0,0,23972.11776,85
22,F,C,49,Y,31,28,P,48,N,Y,24,950,0,Y,0,461,0,0,1433.543338,86
20,F,S,21,Y,50,18,P,72,N,Y,12,60,0,Y,0,197,0,0,24391.78388,87
17,F,S,29,N,50,8,P,12,N,Y,36,72,0,Y,0,300,0,0,11856.33348,88
24,F,V,82,Y,31,20,A,204,N,Y,384,725,0,Y,0,844,1,0,11915.79539,89
23,F,S,44,Y,31,8,P,120,N,Y,48,950,0,Y,0,400,0,1,20761.37263,90
15,M,C,39,Y,31,8,P,36,Y,Y,132,222,0,N,0,1248,1,0,5911.445744,91
20,F,C,36,Y,31,8,P,120,Y,Y,36,718,0,Y,0,724,0,0,19486.44601,92
16,F,S,35,Y,31,23,P,144,N,Y,12,131,0,Y,0,450,0,0,10618.30299,93
19,M,S,21,N,31,8,P,48,Y,Y,36,514,0,Y,0,1400,0,0,24438.23704,94
12,F,C,44,Y,31,28,P,480,Y,Y,36,113,0,Y,0,5000,0,1,11154.9286,95
22,F,S,22,Y,31,28,P,120,N,Y,24,60,0,Y,0,341,0,0,14593.5122,96
10,F,O,43,Y,31,18,O,108,Y,Y,180,713,0,Y,0,1225,0,0,23286.56363,97
25,F,S,50,Y,31,18,P,396,Y,Y,0,34,0,Y,0,665,0,0,20264.87897,98
12,F,C,49,N,31,12,P,156,N,Y,168,205,0,Y,0,300,0,1,17006.39974,99
19,M,C,32,Y,31,20,P,384,Y,Y,12,999,0,Y,0,320,0,0,26709.96954,100
16,F,C,40,Y,31,12,P,300,N,Y,0,725,0,Y,0,1300,0,0,22638.06189,101
16,F,C,39,Y,31,28,P,120,N,Y,12,305,0,Y,0,2800,1,0,1469.997154,102
3,F,C,28,Y,31,8,P,336,N,Y,96,312,1500,Y,0,580,0,0,16432.52295,103
20,F,V,68,Y,31,18,P,180,N,Y,192,13,0,Y,0,479,0,0,18214.49196,104
25,F,S,32,Y,50,28,P,36,Y,Y,12,953,0,Y,0,370,0,0,19688.46187,105
11,F,S,59,N,50,12,A,12,N,Y,0,13,0,Y,0,226,0,1,18409.96502,106
9,M,S,24,Y,5,20,P,288,Y,Y,12,953,0,Y,0,420,0,0,11393.1239,107
22,F,O,50,Y,31,18,P,360,N,Y,12,205,0,Y,0,180,0,0,4745.819952,108
55,F,S,25,Y,31,25,A,168,N,Y,0,501,0,Y,0,300,0,0,25365.16624,109
22,F,C,43,N,50,18,P,168,N,Y,72,35,0,Y,0,199,0,0,10039.51099,110
55,M,S,35,Y,50,18,P,192,N,Y,48,999,0,Y,0,663,0,1,13579.04906,111
55,F,S,46,Y,31,20,P,60,N,Y,48,950,0,Y,0,300,0,0,2171.155634,112
3,F,S,19,Y,31,25,P,228,N,Y,12,999,0,Y,0,140,0,0,29168.85626,113
24,F,S,23,Y,31,18,P,36,N,Y,36,950,0,Y,0,300,0,1,5050.679977,114
23,F,C,52,Y,31,12,P,156,Y,Y,360,713,0,Y,0,2233,0,0,1544.220169,115
22,F,C,53,Y,31,20,P,360,N,Y,240,950,0,Y,0,600,1,0,5445.011331,116
55,F,S,22,Y,31,3,P,120,Y,Y,24,999,0,Y,0,1200,0,1,5808.979918,117
24,F,O,24,Y,31,18,P,144,Y,Y,24,61,0,Y,0,200,0,0,13075.90001,118
55,M,C,23,Y,31,3,P,24,Y,Y,36,999,0,Y,0,460,0,0,9989.533483,119
55,F,V,49,N,50,18,P,120,N,Y,72,703,0,Y,0,240,0,0,14916.86606,120
19,M,S,20,Y,31,20,C,240,N,Y,12,26,0,Y,0,220,0,0,3144.451359,121
23,F,D,52,Y,31,3,P,216,N,Y,0,703,0,Y,0,579,0,0,22429.81017,122
10,F,V,66,Y,31,18,P,360,N,Y,0,703,0,Y,0,368,0,0,5693.948563,123
22,F,V,34,N,31,20,P,180,N,Y,12,26,0,Y,0,200,0,0,9813.285394,124
10,F,S,63,Y,31,12,C,24,N,Y,0,725,0,Y,0,874,2,0,604.1464006,125
6,M,C,29,Y,23,9,P,96,Y,Y,60,265,0,Y,0,300,0,1,24678.8292,126
20,F,C,61,Y,31,12,P,276,Y,Y,300,713,0,Y,0,2030,1,0,19417.08374,127
66,M,C,46,Y,5,3,P,240,N,Y,36,202,0,Y,0,800,0,0,9607.321111,128
24,F,S,19,Y,31,18,P,228,N,Y,36,950,0,Y,0,350,0,0,3518.468255,129
25,F,S,26,Y,31,12,P,72,Y,Y,60,999,0,Y,0,800,0,1,13500.78531,130
9,F,S,20,N,50,12,C,240,Y,Y,0,653,0,Y,0,304,0,0,11491.88414,131
22,M,C,20,N,50,8,A,12,N,Y,12,25,0,Y,0,277,0,1,26052.22069,132
8,F,S,23,Y,31,12,P,12,N,Y,24,950,0,Y,0,300,0,1,7107.023481,133
25,F,S,38,Y,31,25,P,36,N,Y,48,205,0,Y,0,380,0,0,20884.75345,134
55,F,O,39,Y,31,20,P,36,N,Y,0,801,0,Y,0,278,0,0,24149.6272,135
24,M,S,21,Y,31,12,A,12,Y,Y,60,38,0,N,0,1000,0,0,22067.52966,136
25,M,S,24,N,50,20,C,36,N,Y,48,118,0,Y,0,242,0,0,1484.248605,137
20,F,C,45,Y,31,1,P,216,Y,Y,204,713,0,Y,0,1107,0,0,28860.21445,138
22,F,S,23,Y,31,25,P,180,Y,Y,12,64,0,Y,0,453,0,0,20068.01525,139
3,F,C,35,Y,31,16,P,84,Y,Y,12,40,0,Y,0,200,0,0,27505.01535,140
11,M,C,69,Y,31,8,P,372,N,Y,0,515,0,Y,0,3900,2,0,21074.57456,141
12,M,S,18,Y,31,8,P,144,Y,Y,24,653,0,Y,0,308,0,0,4345.164136,142
3,F,S,22,Y,23,12,O,48,N,Y,12,999,0,Y,0,800,0,1,14719.96689,143
18,F,S,37,Y,23,18,A,12,N,Y,12,26,0,Y,0,220,0,0,5448.77238,144
11,M,S,30,Y,31,12,P,24,Y,Y,24,508,0,Y,0,648,0,0,12459.72512,145
55,M,S,26,Y,31,18,A,12,N,Y,12,999,0,Y,0,270,0,1,1542.520025,146
23,M,S,34,Y,31,18,P,216,Y,Y,48,522,0,Y,0,850,0,1,14189.01951,147
18,F,C,41,Y,23,18,C,204,Y,Y,72,30,0,Y,0,300,2,0,2589.977746,148
9,F,S,18,Y,5,18,P,156,Y,Y,0,36,0,Y,0,280,0,0,16955.00751,149
22,M,C,63,N,50,20,P,240,N,Y,192,13,0,Y,0,623,1,0,19106.87171,150
24,F,C,36,Y,31,12,P,432,Y,Y,168,210,0,Y,0,765,1,0,17300.44185,151
23,F,C,34,Y,31,25,P,372,N,Y,0,731,0,Y,0,600,0,0,27863.75218,152
25,F,O,28,Y,31,12,A,0,Y,Y,0,39,0,Y,0,223,0,0,18762.22895,153
16,M,S,30,Y,31,20,P,360,N,Y,0,706,0,Y,0,600,0,0,2832.302598,154
11,M,C,59,Y,31,18,P,168,Y,Y,312,108,0,Y,0,1234,1,0,3298.989907,155
13,F,V,34,Y,31,8,P,12,Y,Y,24,205,0,Y,0,350,0,0,11399.11125,156
24,M,C,25,Y,31,28,A,120,Y,Y,72,999,0,Y,0,800,0,1,9937.177305,157
23,M,S,43,Y,31,20,P,240,Y,Y,12,26,0,Y,0,271,0,0,12032.96851,158
15,M,C,34,Y,31,23,P,180,Y,Y,84,222,0,Y,0,1800,1,0,9723.269779,159
19,F,S,22,N,50,25,C,264,Y,Y,12,654,0,Y,0,370,0,0,16025.39581,160
22,F,O,45,N,50,12,P,528,N,Y,12,999,0,Y,0,409,1,0,1027.251225,161
17,F,O,25,Y,31,3,P,240,Y,Y,84,222,0,Y,0,382,0,0,13761.46479,162
15,M,S,28,Y,31,12,O,96,Y,Y,0,950,0,Y,0,157,0,0,26125.6769,163
10,M,S,27,Y,31,12,P,324,Y,Y,24,110,0,Y,0,263,0,0,9766.006684,164
22,F,C,35,Y,31,12,P,60,N,Y,60,166,0,Y,0,500,0,0,3352.140351,165
22,M,D,77,N,50,8,P,528,N,Y,300,13,0,Y,0,271,0,1,4760.02327,166
55,M,O,67,Y,31,8,A,48,N,Y,216,13,0,Y,0,950,2,0,16720.40377,167
24,F,C,45,Y,50,12,P,276,Y,Y,120,713,0,Y,0,1088,0,0,5571.59251,168
23,F,S,27,Y,31,8,P,324,N,Y,120,131,0,Y,0,400,0,0,17507.04237,169
24,F,S,23,Y,31,8,P,12,N,Y,12,2,0,Y,0,2500,0,0,8808.705476,170
23,F,C,43,Y,31,12,P,180,N,Y,12,131,0,Y,0,400,0,0,8634.529083,171
8,F,S,48,N,50,3,P,228,Y,Y,24,205,0,Y,0,430,0,1,19904.10681,172
22,F,C,46,Y,31,18,P,120,N,Y,300,131,0,Y,0,300,0,0,4150.332303,173
10,F,S,25,Y,50,3,P,300,Y,Y,24,26,0,Y,0,220,0,0,10946.27071,174
10,F,C,26,Y,31,12,P,300,Y,Y,24,999,0,Y,0,570,0,1,8086.328826,175
55,F,S,21,Y,31,8,P,252,N,Y,12,203,0,Y,0,300,0,0,12526.54704,176
55,F,S,22,Y,50,28,P,72,Y,Y,0,60,0,N,0,350,0,0,4073.033084,177
55,M,S,20,Y,50,18,P,144,N,Y,0,223,0,Y,0,440,0,0,7061.671335,178
21,F,S,18,Y,31,8,A,24,Y,Y,24,999,0,Y,0,785,0,0,8244.107729,179
21,F,S,34,Y,31,28,P,24,Y,Y,12,60,0,Y,0,260,0,1,25357.49433,180
1,M,S,19,Y,31,8,P,228,N,Y,12,652,0,Y,0,505,0,0,19615.09481,181
25,F,D,37,Y,31,18,P,420,N,Y,84,950,0,Y,0,473,0,1,22287.7578,182
10,F,S,29,Y,31,18,P,72,Y,Y,12,26,0,Y,0,265,0,0,12119.47417,183
3,M,S,46,Y,31,12,A,24,N,Y,300,262,0,Y,0,1290,0,1,29684.90783,184
23,M,C,39,Y,31,12,P,180,Y,Y,24,210,0,Y,0,505,0,0,22733.9265,185
2,M,S,19,N,50,28,P,216,Y,Y,0,213,0,Y,0,450,0,1,1104.425672,186
24,F,S,21,Y,31,20,P,84,N,Y,36,950,0,Y,0,300,0,0,17916.82354,187
10,F,S,74,Y,31,23,P,312,N,Y,0,13,0,Y,0,416,0,0,14918.31497,188
24,F,C,45,Y,50,18,P,144,Y,Y,24,713,0,Y,0,411,0,0,9384.780908,189
12,F,C,42,Y,31,8,P,36,Y,Y,60,100,0,Y,0,500,0,0,9170.701015,190
10,F,C,41,Y,31,1,P,96,Y,Y,132,78,0,Y,0,270,0,0,7659.68998,191
25,F,C,33,Y,31,20,P,396,N,Y,72,950,0,Y,0,750,0,0,7750.808755,192
3,F,S,19,N,50,8,A,36,Y,Y,0,950,0,Y,0,417,0,1,25833.18227,193
9,M,S,40,Y,5,12,P,480,N,Y,48,521,0,Y,0,590,0,1,15614.48705,194
11,F,S,44,Y,31,3,P,72,N,Y,0,703,0,Y,0,400,0,0,622.7815659,195
24,F,S,28,Y,50,12,P,132,Y,Y,36,999,0,Y,0,850,0,0,18922.53296,196
24,F,S,28,Y,50,18,P,72,N,Y,48,61,0,Y,0,300,0,0,29858.53723,197
3,F,C,24,Y,31,20,P,96,Y,Y,0,712,0,Y,0,292,0,0,11867.31691,198
14,F,C,31,Y,31,12,P,180,N,Y,72,703,0,Y,0,180,0,0,6674.921604,199
15,F,S,30,Y,31,28,P,12,N,Y,0,999,0,Y,0,0,0,0,727.2840835,200
22,F,O,18,Y,50,1,P,228,N,Y,24,999,0,Y,0,255,0,0,4177.421644,201
23,F,S,21,Y,31,12,P,252,Y,Y,12,26,0,Y,0,181,0,0,15565.00691,202
4,F,S,18,Y,31,12,C,36,Y,Y,12,38,0,Y,0,238,0,0,28620.2332,203
25,F,S,25,N,50,25,A,12,Y,Y,24,205,0,Y,0,300,0,0,6956.590013,204
20,F,S,23,N,50,6,O,12,Y,Y,12,205,0,Y,0,400,0,0,12502.7733,205
24,F,V,41,Y,31,28,P,360,Y,Y,96,123,0,Y,0,162,0,0,24188.04612,206
16,F,S,26,Y,31,28,P,60,N,Y,12,999,0,Y,0,360,0,0,7804.831727,207
1,F,S,19,Y,50,1,P,12,Y,Y,24,302,0,Y,0,251,0,0,29385.91587,208
9,M,D,33,Y,5,8,C,36,N,Y,144,503,0,Y,0,1300,0,0,21758.4502,209
25,F,O,39,Y,31,12,P,24,N,Y,24,302,0,Y,0,800,0,0,16476.53074,210
25,F,S,48,Y,31,12,P,264,N,Y,60,51,0,Y,0,1365,0,0,6913.660896,211
55,F,C,41,Y,31,8,P,60,N,Y,120,720,1110,Y,0,551,0,0,7630.872121,212
24,F,C,52,Y,50,20,P,480,N,Y,72,13,0,Y,0,180,0,0,14879.65073,213
20,F,C,50,Y,31,25,P,24,N,Y,12,165,0,Y,0,300,0,0,18431.82294,214
4,F,S,20,Y,31,18,P,24,N,N,36,60,0,Y,0,400,0,1,15322.295,215
25,F,O,44,Y,31,3,A,60,Y,Y,120,205,0,Y,0,600,0,0,3377.777575,216
3,F,S,40,Y,31,28,P,48,N,Y,360,999,0,Y,0,25,0,0,7382.630799,217
12,F,O,26,Y,31,23,P,216,N,Y,36,131,0,Y,0,305,0,0,29130.68593,218
22,F,S,30,Y,31,25,P,240,N,Y,12,24,0,Y,0,198,0,0,1375.836465,219
1,F,S,28,Y,31,28,P,48,N,Y,12,165,0,Y,0,400,0,0,9196.239556,220
55,F,S,23,Y,50,18,P,24,N,Y,24,950,0,Y,0,300,0,0,12646.17482,221
3,F,S,19,Y,31,25,P,72,N,Y,0,218,0,Y,0,198,0,0,25834.28626,222
22,M,C,25,Y,50,8,P,36,N,Y,36,504,0,Y,0,552,0,1,16368.21295,223
19,F,O,25,N,31,18,P,300,N,Y,12,999,0,Y,0,300,0,0,16866.37059,224
1,M,O,28,N,50,20,P,336,N,Y,60,865,0,Y,0,640,0,1,18948.52667,225
10,F,O,42,Y,31,18,P,120,N,Y,0,950,0,Y,0,600,0,1,2476.505113,226
1,F,C,36,Y,31,12,P,72,N,Y,24,40,0,Y,0,256,0,0,14754.21083,227
20,F,C,33,Y,31,18,P,12,N,Y,12,72,0,Y,0,500,0,0,20025.72841,228
22,F,C,41,N,50,18,P,132,N,Y,48,205,0,Y,0,180,0,0,5259.79894,229
22,F,O,20,Y,31,8,P,24,N,Y,24,131,0,Y,0,500,0,1,22855.55699,230
25,M,O,40,Y,31,8,P,264,N,Y,36,13,0,Y,0,250,0,0,2616.678554,231
12,M,C,25,Y,31,20,P,96,Y,Y,12,305,0,Y,0,1000,0,1,17202.76366,232
55,F,D,35,Y,31,23,P,120,N,Y,72,950,0,Y,0,300,0,0,1860.924645,233
15,M,S,19,Y,31,12,P,228,Y,Y,12,999,0,Y,0,192,0,0,22454.20975,234
24,F,V,43,Y,31,18,A,0,Y,Y,240,999,0,Y,0,7708,1,0,25072.11183,235
23,F,C,50,Y,31,18,P,480,N,Y,120,918,0,Y,0,250,0,0,26277.90249,236
3,F,S,27,N,31,8,A,60,N,Y,96,131,0,Y,0,600,0,1,2169.425458,237
55,F,S,24,Y,31,8,P,48,Y,Y,24,855,0,Y,0,350,0,1,6464.215621,238
3,M,C,35,Y,31,8,P,132,N,Y,204,514,914,Y,0,1700,1,0,13777.31421,239
1,F,C,30,Y,31,25,P,12,N,Y,120,100,0,Y,0,500,0,0,3451.777585,240
13,F,S,31,Y,31,23,P,12,Y,Y,12,205,0,Y,0,250,0,0,24651.32458,241
19,M,S,24,Y,31,8,A,120,Y,Y,12,864,0,Y,0,400,0,0,18016.38774,242
3,F,V,51,Y,31,20,P,588,N,Y,84,725,0,Y,0,259,0,0,15276.35006,243
24,F,S,19,N,50,23,P,240,Y,Y,12,501,0,Y,0,390,0,0,10453.61024,244
25,F,S,18,Y,31,8,P,216,Y,Y,12,36,0,Y,0,840,0,0,26774.34566,245
25,M,S,21,Y,31,18,P,72,Y,Y,12,24,0,Y,0,400,0,1,2174.052644,246
25,F,S,46,Y,31,18,P,240,Y,Y,36,999,0,Y,0,3000,0,1,18007.6548,247
25,F,C,34,N,50,18,P,408,Y,Y,144,38,0,Y,0,800,0,0,9514.740592,248
23,F,D,43,Y,31,8,P,216,Y,Y,132,999,0,Y,0,420,0,0,22475.33542,249
23,F,C,47,Y,31,12,P,120,N,Y,0,131,0,Y,0,600,0,0,12407.99922,250
19,F,C,44,Y,31,28,P,96,N,Y,0,999,0,Y,0,500,1,0,12658.02165,251
9,F,S,20,Y,5,12,P,12,N,Y,12,60,0,Y,0,300,0,0,13047.24238,252
11,M,C,37,Y,31,25,P,300,Y,Y,36,508,0,Y,0,646,0,0,17796.0188,253
17,F,S,19,Y,31,18,P,120,N,Y,12,950,0,Y,0,400,0,1,3557.08386,254
11,F,C,56,Y,31,20,P,312,Y,Y,12,26,0,Y,0,250,1,0,11992.92286,255
16,M,S,30,Y,31,8,P,240,N,Y,0,515,0,Y,0,4835,0,0,13562.77901,256
3,F,C,47,Y,31,12,P,24,N,Y,240,950,0,Y,0,320,0,0,4628.812251,257
55,F,S,40,Y,50,25,P,120,Y,Y,24,26,0,Y,0,230,0,0,27773.21274,258
15,M,S,25,Y,31,8,P,312,Y,Y,12,26,0,Y,0,200,0,0,25706.85031,259
24,F,C,27,Y,31,28,P,336,N,Y,12,999,0,Y,0,497,0,1,13128.51055,260
3,F,S,32,Y,31,18,P,204,Y,Y,24,78,0,Y,0,230,0,0,27792.5242,261
55,F,S,47,N,50,20,P,564,N,Y,240,999,0,Y,0,800,0,0,16967.9099,262
12,M,C,36,N,31,20,P,204,N,Y,48,999,0,Y,0,234,0,0,18309.68742,263
12,M,C,31,Y,31,8,P,60,N,Y,24,522,0,Y,0,884,1,0,22451.21251,264
12,F,C,28,N,31,20,P,24,Y,Y,0,165,0,Y,0,280,0,1,8730.333991,265
55,F,S,19,Y,31,9,C,228,Y,Y,0,653,0,Y,0,300,0,0,24299.25562,266
55,M,C,45,Y,31,12,P,144,N,Y,72,13,0,Y,0,758,0,0,9250.472874,267
16,F,S,44,Y,31,12,P,240,N,Y,12,131,0,Y,0,220,0,0,14447.08534,268
14,F,S,27,N,50,25,C,324,N,Y,12,205,0,Y,0,180,0,0,19976.78067,269
